,Unnamed: 0,policy_rk,total_premium_amt,coverage,repair_option,paid_flg,region,auto_make,auto_model,auto_cost,vehicle_mileage_km_amt,vehicle_new_flg,audatex_claim_cnt,audatex_total_cost_amt,vehicle_issue_year,vehicle_credit_flg,min_driver_experience_years_cnt,insurant_gender_cd,age,issue_flg,expected_loss_amt,transition_flg,premium_transition_amt,renewed_issue_flg,renewed_paid_flg,unique
5575,6282,293161725,143100.0,Тоталь + Угон,Ремонт на СТОА по направлению страховщика,1,Санкт-Петербург,Kia,Kia Rio,601000.0,68000.0,0.0,0.0,0.0,2017,0,7,F,51.0,1,52937.19,0.0,0.0,0,0,293161725F51.0
5576,6283,293161779,1061100.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Mercedes-Benz,Mercedes-Benz E-class,2600000.0,38000.0,0.0,0.0,0.0,2019,0,11,M,24.0,1,546198.12,0.0,0.0,1,0,293161779M24.0
5577,6284,293162229,124560.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Владимирская область,Citroen,Citroen Jumpy,1700000.0,40000.0,0.0,0.0,0.0,2020,1,24,M,50.0,1,33229.71,1.0,463581.0,1,1,293162229M50.0
5578,6285,293162427,167670.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Volkswagen,Volkswagen Passat,1300000.0,39000.0,0.0,2.0,2202489.0,2015,0,15,M,38.0,1,132457.95,0.0,0.0,0,0,293162427M38.0
5580,6287,293162619,180900.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Республика Татарстан,ВАЗ,ВАЗ Granta,650000.0,12000.0,0.0,0.0,0.0,2020,1,33,M,54.0,1,120976.11,0.0,0.0,0,0,293162619M54.0
5584,6292,293163264,124643.43,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,BMW,BMW 3er,2000000.0,35000.0,0.0,0.0,0.0,2018,0,13,M,36.0,1,0.0,0.0,0.0,1,1,293163264M36.0
5587,6295,293163804,99000.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Краснодарский край,Hyundai,Hyundai Solaris,900084.0,15000.0,0.0,0.0,0.0,2019,1,21,M,40.0,1,29781.63,0.0,0.0,1,1,293163804M40.0
5591,6300,293164317,209529.63,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Санкт-Петербург,Kia,Kia Rio,1000000.0,33000.0,0.0,0.0,0.0,2014,0,9,F,40.0,1,0.0,0.0,0.0,0,0,293164317F40.0
5592,6301,293164374,1093500.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Ленинградская область,Infiniti,Infiniti QX55,4470000.0,0.0,1.0,0.0,0.0,2021,0,14,M,38.0,1,371527.74,0.0,0.0,0,0,293164374M38.0
5599,6308,293165142,135432.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Kia,Kia Ceed,1874000.0,10.0,1.0,0.0,0.0,2021,0,16,M,37.0,1,49728.15,0.0,0.0,0,0,293165142M37.0
5603,6312,293165397,300600.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Пензенская область,Nissan,Nissan Qashqai +2,830134.0,30000.0,0.0,1.0,1190061.0,2013,0,0,F,54.0,1,188890.2,0.0,0.0,1,1,293165397F54.0
5606,6315,293165919,1080900.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Пермский край,Mitsubishi,Mitsubishi Outlander,2600000.0,0.0,1.0,0.0,0.0,2021,1,11,M,33.0,1,529453.44,0.0,0.0,1,0,293165919M33.0
5610,6319,293166471,500336.46,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Porsche,Porsche Macan,2500000.0,72000.0,0.0,0.0,0.0,2016,0,17,M,42.0,1,0.0,0.0,0.0,1,1,293166471M42.0
5611,6320,293166747,220529.52,Полное КАСКО,Ремонт на СТОА официального дилера,1,Кировская область,Hyundai,Hyundai Creta,900000.0,12000.0,0.0,0.0,0.0,2019,1,10,M,28.0,1,0.0,0.0,0.0,0,0,293166747M28.0
5613,6323,293167017,131760.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Санкт-Петербург,Volkswagen,Volkswagen Polo,500000.0,35000.0,0.0,0.0,0.0,2016,0,16,F,43.0,1,58569.21,1.0,151425.0,0,0,293167017F43.0
5617,6327,293167488,146352.51,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Ленинградская область,Kia,Kia Ceed,506655.0,5000.0,0.0,0.0,0.0,2014,1,15,F,34.0,1,0.0,0.0,0.0,0,0,293167488F34.0
5618,6328,293167590,182900.52,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Санкт-Петербург,Kia,Kia Ceed,1305000.0,26135.0,0.0,0.0,0.0,2019,0,15,M,39.0,1,0.0,0.0,0.0,1,1,293167590M39.0
5619,6329,293167731,179100.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Suzuki,Suzuki SX4,2000000.0,13200.0,0.0,0.0,0.0,2020,0,14,F,39.0,1,129343.41,0.0,396000.0,1,1,293167731F39.0
5621,6331,293167893,251067.42,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Nissan,Nissan Terrano,891000.0,13900.0,0.0,0.0,0.0,2017,0,9,F,43.0,1,0.0,0.0,0.0,0,0,293167893F43.0
5623,6333,293168265,1014120.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Toyota,Toyota Camry,3000000.0,7900.0,0.0,0.0,0.0,2021,1,32,M,27.0,1,665218.62,0.0,0.0,0,0,293168265M27.0
5626,6336,293168517,926100.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Волгоградская область,Land Rover,Land Rover Range Rover Sport,6500000.0,7000.0,0.0,0.0,0.0,2019,0,11,F,36.0,1,964399.41,0.0,0.0,1,1,293168517F36.0
5627,6337,293168523,281520.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Кемеровская область,Hyundai,Hyundai Sonata,1804000.0,15000.0,0.0,0.0,0.0,2020,1,10,M,34.0,1,176769.54,1.0,526842.0,1,1,293168523M34.0
5629,6339,293168661,480240.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Пензенская область,Mitsubishi,Mitsubishi Outlander,2100000.0,4900.0,0.0,0.0,0.0,2021,1,25,F,57.0,1,396159.93,1.0,813429.0,0,0,293168661F57.0
5630,6340,293168664,379440.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Hyundai,Hyundai Creta,1500000.0,5000.0,0.0,0.0,0.0,2021,1,19,F,41.0,1,272653.47,1.0,452088.0,1,0,293168664F41.0
5632,6342,293168874,214560.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Mazda,Mazda 6,1320000.0,25000.0,0.0,0.0,0.0,2016,0,17,F,45.0,1,23069.16,1.0,250191.0,0,0,293168874F45.0
5639,6349,293169564,303705.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Санкт-Петербург,Renault,Renault Sandero,900000.0,8000.0,0.0,1.0,289053.0,2018,0,22,M,45.0,1,159656.22,0.0,0.0,1,0,293169564M45.0
5649,6362,293170827,1083600.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Республика Татарстан,Porsche,Porsche Macan,6000000.0,17000.0,0.0,0.0,0.0,2020,0,24,F,51.0,1,774643.32,0.0,1154250.0,1,0,293170827F51.0
5659,6372,293171973,588924.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Mercedes-Benz,Mercedes-Benz GLA-class,2500000.0,6500.0,0.0,0.0,0.0,2020,1,22,F,56.0,1,289326.96,1.0,630000.0,1,0,293171973F56.0
5661,6374,293172069,673200.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Московская область,Toyota,Toyota Camry,2310000.0,4500.0,0.0,0.0,0.0,2021,0,18,M,41.0,1,315382.95,1.0,605187.0,1,1,293172069M41.0
5662,6375,293172081,99000.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Renault,Renault Sandero,705000.0,1135.0,0.0,0.0,0.0,2020,0,26,M,59.0,1,65118.96,0.0,0.0,0,0,293172081M59.0
5665,6378,293172471,198000.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Citroen,Citroen Berlingo,1868000.0,0.0,1.0,0.0,0.0,2021,0,14,M,53.0,1,117755.55,0.0,0.0,0,0,293172471M53.0
5675,6390,293173638,428400.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Kia,Kia Rio,1300000.0,12000.0,0.0,0.0,0.0,2021,1,16,M,45.0,1,322092.54,0.0,591822.0,1,0,293173638M45.0
5676,6391,293173707,113400.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Нижегородская область,Hyundai,Hyundai Solaris,975000.0,26000.0,0.0,0.0,0.0,2021,1,9,M,28.0,1,52495.74,0.0,0.0,0,0,293173707M28.0
5681,6396,293174511,755100.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Нижегородская область,Mazda,Mazda CX-5,3050000.0,0.0,1.0,0.0,0.0,2021,1,15,F,57.0,1,439948.53,0.0,0.0,0,0,293174511F57.0
5684,6399,293174799,419220.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Mercedes-Benz,Mercedes-Benz GLA-class,2717000.0,11967.0,0.0,0.0,0.0,2020,1,10,M,50.0,1,262912.14,1.0,912600.0,1,0,293174799M50.0
5685,6400,293174949,168523.2,Полное КАСКО,Ремонт на СТОА официального дилера,1,Владимирская область,Kia,Kia Sportage,1650000.0,1000.0,0.0,0.0,0.0,2019,0,22,M,52.0,1,141165.0,1.0,182786.4,1,1,293174949M52.0
5688,6403,293175291,286200.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Volkswagen,Volkswagen Polo,1000000.0,5.0,0.0,0.0,0.0,2018,0,5,M,30.0,1,183504.24,0.0,0.0,1,0,293175291M30.0
5689,6404,293175309,418500.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Subaru,Subaru Forester,3150000.0,3013.0,0.0,0.0,0.0,2020,0,20,M,53.0,1,252540.18,0.0,0.0,1,1,293175309M53.0
5695,6410,293175891,660240.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Mercedes-Benz,Mercedes-Benz GLE-class,4500000.0,10000.0,0.0,2.0,1339155.0,2018,0,19,F,45.0,1,881831.61,1.0,897363.0,0,0,293175891F45.0
5696,6411,293175921,520524.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Пензенская область,Mazda,Mazda CX-5,2637000.0,19200.0,0.0,0.0,0.0,2020,1,26,M,44.0,1,338775.03,1.0,676638.0,1,0,293175921M44.0
5698,6413,293176161,733725.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Республика Татарстан,Mercedes-Benz,Mercedes-Benz GLC-class,3932000.0,10000.0,0.0,1.0,1633185.0,2019,0,19,F,39.0,1,731270.61,0.0,0.0,1,1,293176161F39.0
5700,6415,293176338,353970.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Московская область,Kia,Kia Cerato,1481975.0,0.0,0.0,0.0,0.0,2020,0,16,M,39.0,1,0.0,0.0,0.0,1,0,293176338M39.0
5701,6417,293176701,338811.75,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Chery,Chery Tiggo 7 Pro,1850000.0,0.0,0.0,0.0,0.0,2020,0,12,M,31.0,1,0.0,0.0,0.0,1,0,293176701M31.0
5703,6419,293176953,181260.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Chery,Chery Tiggo 7 Pro,1190000.0,0.0,0.0,0.0,0.0,2020,1,18,M,36.0,1,0.0,0.0,0.0,0,0,293176953M36.0
5711,6427,293177667,329400.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Hyundai,Hyundai Sonata,2100000.0,12000.0,0.0,0.0,0.0,2021,0,12,M,40.0,1,279630.45,1.0,473157.0,1,1,293177667M40.0
5715,6431,293178042,617932.8,Полное КАСКО,Ремонт на СТОА официального дилера,1,Московская область,Mercedes-Benz,Mercedes-Benz GLC-class,5100000.0,4990.0,0.0,0.0,0.0,2021,1,24,M,44.0,1,467527.41,1.0,841104.0,1,1,293178042M44.0
5717,6433,293178123,449100.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Краснодарский край,Renault,Renault Arkana,1400000.0,38000.0,0.0,0.0,0.0,2019,1,11,F,33.0,1,252798.93,0.0,0.0,0,0,293178123F33.0
5719,6435,293178204,371925.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Республика Бурятия,Kia,Kia Rio,994415.0,5.0,0.0,0.0,0.0,2020,1,16,F,38.0,1,0.0,0.0,0.0,1,1,293178204F38.0
5722,6438,293179125,432540.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Volkswagen,Volkswagen Polo,1250000.0,4300.0,0.0,0.0,0.0,2020,0,3,M,41.0,1,368208.27,1.0,541593.0,1,1,293179125M41.0
5724,6440,293179434,123165.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Республика Карелия,Kia,Kia Sportage,1600000.0,30000.0,0.0,0.0,0.0,2018,0,16,M,41.0,1,71009.46,0.0,0.0,0,0,293179434M41.0
5727,6445,293179623,965700.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Land Rover,Land Rover Defender,5000000.0,14000.0,0.0,1.0,668799.0,2021,0,20,F,41.0,1,551244.15,0.0,500661.0,1,0,293179623F41.0
5732,6450,293179785,111355.29,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Санкт-Петербург,SsangYong,SsangYong Stavic,1024720.0,5.0,0.0,0.0,0.0,2013,0,11,F,42.0,1,0.0,0.0,0.0,1,1,293179785F42.0
5735,6453,293180139,212019.12,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Honda,Honda CR-V,1500000.0,76530.0,0.0,0.0,0.0,2015,0,21,M,40.0,1,0.0,0.0,0.0,1,1,293180139M40.0
5736,6454,293180403,625176.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Mercedes-Benz,Mercedes-Benz E-class,3750000.0,5600.0,0.0,0.0,0.0,2020,0,32,M,50.0,1,371558.97,1.0,972000.0,1,1,293180403M50.0
5739,6457,293180616,758160.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,BMW,BMW 4er,3800000.0,500.0,0.0,0.0,0.0,2021,1,20,M,39.0,1,408947.67,1.0,1333395.0,1,0,293180616M39.0
5744,6463,293181084,591300.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Infiniti,Infiniti QX50,3000000.0,16400.0,0.0,1.0,134451.0,2018,0,21,M,44.0,1,276113.61,0.0,0.0,0,0,293181084M44.0
5746,6465,293181099,152397.27,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Республика Карелия,Kia,Kia Optima,1300000.0,9000.0,0.0,0.0,0.0,2019,1,15,M,47.0,1,0.0,0.0,0.0,0,0,293181099M47.0
5749,6468,293181174,228545.82,Полное КАСКО,Ремонт на СТОА официального дилера,1,Новгородская область,Hyundai,Hyundai Solaris,890000.0,0.0,0.0,0.0,0.0,2020,1,11,M,47.0,1,0.0,0.0,0.0,1,1,293181174M47.0
5752,6471,293181264,265680.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Московская область,Hyundai,Hyundai Solaris,981328.0,1500.0,0.0,0.0,0.0,2021,1,23,M,43.0,1,123532.83,1.0,464373.0,1,1,293181264M43.0
5753,6472,293181285,232952.31,Полное КАСКО,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Ford,Ford EcoSport,950000.0,65126.0,0.0,0.0,0.0,2018,1,12,F,40.0,1,0.0,0.0,0.0,0,0,293181285F40.0
5756,6475,293181492,203400.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Kia,Kia Picanto,900000.0,8500.0,0.0,1.0,2159514.0,2020,0,19,F,48.0,1,163691.46,0.0,0.0,1,1,293181492F48.0
5759,6480,293182233,664353.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Курская область,Toyota,Toyota Fortuner,4000000.0,1200.0,0.0,0.0,0.0,2020,0,18,M,37.0,1,415518.03,0.0,718668.0,0,0,293182233M37.0
5760,6481,293182350,714780.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Пензенская область,Cadillac,Cadillac Escalade,3500000.0,7500.0,0.0,3.0,3931308.0,2015,1,26,M,44.0,1,896730.12,0.0,0.0,1,1,293182350M44.0
5762,6484,293182527,106878.33,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Nissan,Nissan Qashqai,1197000.0,13800.0,0.0,0.0,0.0,2019,0,17,M,37.0,1,0.0,0.0,0.0,0,0,293182527M37.0
5763,6485,293182596,99900.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Honda,Honda CR-V,800000.0,1500.0,0.0,0.0,0.0,2013,0,31,M,60.0,1,44567.82,0.0,129600.0,1,1,293182596M60.0
5770,6493,293183379,247536.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Пензенская область,Mitsubishi,Mitsubishi Outlander,1590000.0,15000.0,0.0,0.0,0.0,2018,0,15,F,43.0,1,172774.53,1.0,217872.0,1,1,293183379F43.0
5776,6499,293184033,407700.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Renault,Renault Koleos,1700000.0,10000.0,0.0,0.0,0.0,2017,0,21,M,47.0,1,271041.48,0.0,0.0,0,0,293184033M47.0
5778,6501,293184108,354600.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Nissan,Nissan Qashqai,2575000.0,0.0,1.0,0.0,0.0,2021,1,21,F,46.0,1,237021.21,0.0,0.0,0,0,293184108F46.0
5780,6503,293184135,944622.81,Полное КАСКО,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Mercedes-Benz,Mercedes-Benz GLE-class AMG,5500000.0,30000.0,0.0,0.0,0.0,2018,0,16,F,35.0,1,0.0,0.0,0.0,0,0,293184135F35.0
5787,6511,293185251,291600.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Московская область,Hyundai,Hyundai Creta,1200000.0,66500.0,0.0,0.0,0.0,2018,0,18,F,54.0,1,225846.36,1.0,265806.0,1,1,293185251F54.0
5789,6513,293185401,200070.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,ВАЗ,ВАЗ Vesta,900000.0,24600.0,0.0,0.0,0.0,2019,0,7,M,25.0,1,178254.81,0.0,0.0,0,0,293185401M25.0
5790,6514,293185551,137700.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Hyundai,Hyundai ix35,807722.0,15000.0,0.0,0.0,0.0,2012,0,19,M,38.0,1,45445.5,0.0,0.0,1,0,293185551M38.0
5792,6516,293185734,265392.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Skoda,Skoda Rapid,1000000.0,30000.0,0.0,0.0,0.0,2019,0,14,M,38.0,1,154445.13,1.0,194247.0,0,0,293185734M38.0
5805,6530,293186892,350100.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Республика Карелия,Hyundai,Hyundai Solaris,1200000.0,26000.0,0.0,1.0,451098.0,2021,0,12,M,37.0,1,395804.97,0.0,0.0,1,1,293186892M37.0
5807,6533,293187351,159651.27,Полное КАСКО,Ремонт на СТОА официального дилера,1,Свердловская область,Volkswagen,Volkswagen Polo,900000.0,27166.0,0.0,0.0,0.0,2019,0,21,M,42.0,1,0.0,0.0,0.0,1,1,293187351M42.0
5815,6542,293188281,309420.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Nissan,Nissan Qashqai,1700000.0,2000.0,0.0,0.0,0.0,2020,1,16,F,43.0,1,288292.14,1.0,537147.0,0,0,293188281F43.0
5816,6543,293188338,141300.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Нижегородская область,Kia,Kia Sportage,2200000.0,23000.0,0.0,1.0,391887.0,2020,1,21,M,44.0,1,76112.28,0.0,0.0,1,0,293188338M44.0
5824,6552,293188818,383584.05,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Volkswagen,Volkswagen Caravelle,3700000.0,0.0,0.0,0.0,0.0,2020,0,27,M,56.0,1,0.0,0.0,0.0,1,1,293188818M56.0
5826,6556,293189181,62512.38,Тоталь + Угон,Ремонт на СТОА по направлению страховщика,1,Калужская область,ВАЗ,ВАЗ xRay,447950.0,24000.0,0.0,0.0,0.0,2018,1,40,M,58.0,1,0.0,0.0,89550.0,1,1,293189181M58.0
5827,6557,293189196,40185.0,Только Угон,Отсутствует/неизвестно,1,Республика Карелия,Volkswagen,Volkswagen Jetta,976000.0,74000.0,0.0,0.0,0.0,2016,0,0,M,28.0,1,0.0,0.0,0.0,1,1,293189196M28.0
5836,6566,293189868,130896.0,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Москва,Nissan,Nissan Terrano,850000.0,30000.0,0.0,0.0,0.0,2019,1,14,F,50.0,1,16817.58,1.0,239741.91,0,0,293189868F50.0
5837,6567,293189997,150480.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Республика Карелия,Hyundai,Hyundai Solaris,1200000.0,43000.0,0.0,0.0,0.0,2018,0,32,M,56.0,1,105320.16,1.0,243675.0,1,1,293189997M56.0
5838,6568,293190129,972315.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Рязанская область,BMW,BMW X5,5300000.0,50000.0,0.0,2.0,1758969.0,2018,0,8,F,28.0,1,1059733.35,0.0,1130121.0,1,0,293190129F28.0
5847,6578,293191185,697500.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Ханты-Мансийский автономный округ,Porsche,Porsche Macan,5487000.0,3500.0,0.0,0.0,0.0,2020,0,12,F,32.0,1,564532.02,1.0,1407411.0,0,0,293191185F32.0
5848,6579,293191260,498960.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Нижегородская область,Volvo,Volvo XC40,2300000.0,35000.0,0.0,0.0,0.0,2019,0,17,M,62.0,1,338424.93,1.0,525906.0,0,0,293191260M62.0
5852,6584,293191977,343738.17,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Московская область,Hyundai,Hyundai Elantra,1304205.0,3000.0,0.0,0.0,0.0,2020,1,9,M,57.0,1,0.0,0.0,0.0,1,0,293191977M57.0
5854,6586,293192208,195433.38,Полное КАСКО,Ремонт на СТОА официального дилера,1,Белгородская область,Hyundai,Hyundai Solaris,600000.0,13000.0,0.0,0.0,0.0,2016,0,5,M,54.0,1,0.0,0.0,0.0,1,1,293192208M54.0
5858,6591,293192712,70134.48,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Краснодарский край,Kia,Kia Sportage,810000.0,7000.0,0.0,0.0,0.0,2019,1,16,F,36.0,1,0.0,0.0,0.0,0,0,293192712F36.0
5859,6592,293192868,248400.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Нижегородская область,Ravon,Ravon Nexia R3,835000.0,20.0,0.0,0.0,0.0,2019,1,23,M,41.0,1,115219.35,0.0,0.0,0,0,293192868M41.0
5862,6595,293193261,336600.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Skoda,Skoda Rapid,1300000.0,4900.0,0.0,2.0,735723.0,2020,0,23,M,42.0,1,241519.77,0.0,0.0,0,0,293193261M42.0
5873,6606,293195244,372265.92,Полное КАСКО,Ремонт на СТОА официального дилера,1,Мурманская область,Hyundai,Hyundai Sonata,2000000.0,0.0,0.0,0.0,0.0,2020,1,18,M,50.0,1,0.0,0.0,0.0,1,1,293195244M50.0
5874,6608,293195508,242957.52,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Республика Карелия,Mercedes-Benz,Mercedes-Benz E-class,2630000.0,65174.0,0.0,0.0,0.0,2019,1,20,F,39.0,1,0.0,0.0,0.0,1,1,293195508F39.0
5878,6613,293195895,391802.4,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Hyundai,Hyundai Creta,1250000.0,1500.0,0.0,0.0,0.0,2020,1,17,F,38.0,1,237704.22,1.0,346878.0,0,0,293195895F38.0
5879,6614,293196081,477900.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Оренбургская область,Toyota,Toyota Rav4,2800000.0,200.0,0.0,0.0,0.0,2021,0,13,M,42.0,1,370929.33,0.0,0.0,0,0,293196081M42.0
5882,6617,293196339,598455.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Mitsubishi,Mitsubishi Outlander,1300000.0,1500.0,0.0,3.0,278010.0,2018,0,8,M,36.0,1,364011.48,0.0,432279.0,0,0,293196339M36.0
5885,6621,293245737,1118713.95,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Mazda,Mazda 6,2505000.0,13000.0,0.0,0.0,0.0,2020,0,12,M,31.0,1,0.0,0.0,1087200.0,1,0,293245737M31.0
5886,6622,293249481,69300.0,Тоталь + Угон,Ремонт на СТОА по направлению страховщика,1,Владимирская область,ВАЗ,ВАЗ xRay,401000.0,50000.0,0.0,1.0,227682.0,2018,0,9,M,36.0,1,20373.12,0.0,0.0,0,0,293249481M36.0
5887,6623,293250666,539244.99,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Volkswagen,Volkswagen Touareg,4300000.0,37989.0,0.0,0.0,0.0,2019,0,31,M,50.0,1,0.0,0.0,0.0,0,0,293250666M50.0
5888,6624,293260410,430560.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Audi,Audi Q5,3300000.0,4300.0,0.0,2.0,1098333.0,2018,0,17,M,43.0,1,266134.32,1.0,536356.17,1,1,293260410M43.0
5891,6627,293276544,560160.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Mazda,Mazda CX-9,4000000.0,500.0,0.0,0.0,0.0,2020,0,20,M,51.0,1,448181.1,1.0,800307.0,1,1,293276544M51.0
5898,6635,293326659,121410.0,Тоталь + Угон,Ремонт на СТОА по направлению страховщика,1,Архангельская область,Toyota,Toyota Rav4,1200600.0,10000.0,0.0,0.0,0.0,2019,1,26,M,57.0,1,0.0,0.0,0.0,1,1,293326659M57.0
5899,6636,293332077,161605.44,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Kia,Kia Rio,850000.0,79000.0,0.0,0.0,0.0,2016,0,12,M,35.0,1,0.0,0.0,0.0,0,0,293332077M35.0
5900,6637,293334333,176931.09,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Mitsubishi,Mitsubishi ASX,700000.0,95000.0,0.0,0.0,0.0,2013,0,7,F,47.0,1,0.0,0.0,0.0,1,1,293334333F47.0
5902,6639,293356548,660600.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Toyota,Toyota Rav4,3000000.0,17000.0,0.0,0.0,0.0,2021,1,10,F,36.0,1,458628.03,0.0,1056861.0,0,0,293356548F36.0
5903,6640,293370078,585900.0,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,Nissan,Nissan Qashqai,2000000.0,30000.0,0.0,0.0,0.0,2019,0,3,F,27.0,1,394444.44,0.0,0.0,1,1,293370078F27.0
5904,6641,293370891,187442.28,Тоталь + Угон,Ремонт на СТОА официального дилера,1,Санкт-Петербург,Mitsubishi,Mitsubishi Outlander,1652200.0,70000.0,0.0,0.0,0.0,2019,0,20,F,42.0,1,0.0,0.0,0.0,1,0,293370891F42.0
5907,6644,293404065,372960.0,Полное КАСКО,Ремонт на СТОА официального дилера,1,Москва,Subaru,Subaru Legacy,2575712.0,10000.0,0.0,0.0,0.0,2020,1,21,M,53.0,1,230917.77,1.0,603000.0,1,1,293404065M53.0
5909,6647,293421447,690535.17,Полное КАСКО,Ремонт на СТОА по направлению страховщика,1,Москва,BMW,BMW X1,1000000.0,40000.0,0.0,0.0,0.0,2012,0,3,F,22.0,1,0.0,0.0,0.0,0,0,293421447F22.0
